Date,JNJ,PG,MSFT,KO,XOM,NKE,IBM,WMT,AAPL,JPM
1995-07-03,16.8125,17.90625,5.679688,15.9375,17.65625,2.617188,24.0625,13.375,1.660714,15.75
1995-07-05,16.9375,18.0,5.726563,16.125,17.78125,2.632813,24.46875,13.3125,1.674107,15.666667000000002
1995-07-06,16.71875,17.96875,5.664063,15.96875,17.75,2.628906,24.28125,13.3125,1.660714,15.583332999999998
1995-07-07,16.875,17.3125,5.804688,16.125,18.0625,2.679688,24.65625,13.4375,1.674107,16.041666
1995-07-10,16.25,17.3125,6.0,15.875,17.9375,2.675781,25.0,13.25,1.736607,16.416666
1995-07-11,16.375,17.25,6.1875,15.9375,17.71875,2.757813,25.0,13.1875,1.705357,16.875
1995-07-12,16.5625,17.46875,6.046875,16.0,17.84375,2.726563,25.09375,13.0,1.6875,16.583334
1995-07-13,16.5,17.5,6.257813,16.28125,17.9375,2.675781,25.4375,13.25,1.691964,16.666666
1995-07-14,16.53125,17.25,6.140625,16.15625,17.875,2.683594,25.65625,12.8125,1.691964,16.916666
1995-07-17,16.84375,17.375,6.734375,15.96875,17.90625,2.71875,26.03125,13.0625,1.745536,16.541666
1995-07-18,16.90625,17.40625,6.6875,16.0,18.0625,2.71875,26.75,13.375,1.75,16.125
1995-07-19,17.1875,17.25,6.0625,16.125,17.96875,2.6875,26.3125,13.3125,1.6785709999999998,16.416666
1995-07-20,17.25,17.15625,5.953125,16.28125,18.21875,2.625,25.5,13.625,1.642857,16.791666
1995-07-21,17.09375,16.75,5.875,16.0625,18.3125,2.683594,26.0,13.75,1.535714,17.208334
1995-07-24,17.34375,16.75,5.789063,16.28125,18.3125,2.691406,26.03125,13.75,1.5714290000000002,16.75
1995-07-25,17.40625,16.8125,5.96875,16.3125,18.21875,2.707031,26.875,13.5,1.642857,17.25
1995-07-26,17.4375,17.1875,6.101563,16.40625,18.09375,2.75,27.28125,13.5,1.651786,17.375
1995-07-27,17.75,17.5,6.03125,16.625,18.25,2.785156,27.375,13.5,1.625,17.333334
1995-07-28,17.9375,17.5625,6.0,16.625,18.125,2.898438,27.71875,13.5625,1.669643,17.291666
1995-07-31,17.8125,17.34375,5.820313,16.5,17.9375,2.859375,27.65625,13.375,1.625,17.333334
1995-08-01,17.875,17.21875,5.671875,16.40625,18.09375,2.832031,27.28125,13.3125,1.6026790000000002,17.25
1995-08-02,17.78125,17.25,5.6875,16.625,17.9375,2.875,27.65625,13.125,1.566964,17.25
1995-08-03,17.5,17.1875,5.5,16.46875,17.78125,2.890625,26.625,12.6875,1.575893,17.458334
1995-08-04,17.4375,17.09375,5.710938,16.4375,17.90625,2.90625,27.28125,12.8125,1.607143,17.5
1995-08-07,17.71875,17.5,5.90625,16.53125,17.75,2.921875,27.28125,12.875,1.575893,17.583334
1995-08-08,17.71875,17.34375,5.882813,16.4375,17.65625,3.0,27.21875,12.8125,1.558036,17.583334
1995-08-09,17.65625,17.25,6.109375,16.5,17.625,2.925781,27.5,12.75,1.5223209999999998,17.916666
1995-08-10,17.5625,17.25,6.0625,16.6875,17.53125,2.941406,27.46875,12.5625,1.5401790000000002,17.833334
1995-08-11,17.4375,17.25,5.921875,16.65625,17.5625,2.890625,27.375,12.375,1.53125,17.833334
1995-08-14,17.1875,17.1875,6.054688,16.5,17.34375,2.867188,27.3125,12.375,1.535714,17.5
1995-08-15,17.21875,17.15625,6.203125,16.5,17.40625,2.871094,27.75,12.3125,1.566964,17.541666
1995-08-16,17.09375,17.03125,6.148438,16.25,17.34375,2.816406,28.03125,12.375,1.5714290000000002,17.666666
1995-08-17,16.96875,16.8125,6.179688,16.125,17.28125,2.90625,28.09375,12.6875,1.59375,17.958334
1995-08-18,16.875,16.78125,6.230469,16.0,17.1875,2.925781,28.46875,12.6875,1.6026790000000002,17.875
1995-08-21,16.875,16.8125,6.09375,15.75,17.3125,2.921875,27.84375,12.75,1.6026790000000002,17.875
1995-08-22,16.90625,16.75,5.945313,15.78125,17.1875,2.921875,26.75,12.625,1.5848209999999998,17.791666
1995-08-23,17.0,16.875,6.25,15.8125,17.1875,2.894531,27.03125,12.6875,1.6026790000000002,17.75
1995-08-24,17.03125,16.9375,6.132813,15.75,17.09375,2.902344,26.65625,12.5,1.629464,17.833334
1995-08-25,17.0,17.09375,6.023438,16.0,17.15625,2.949219,25.9375,12.375,1.638393,17.833334
1995-08-28,17.0625,17.3125,5.898438,16.125,17.375,2.953125,25.9375,12.6875,1.6026790000000002,19.583334
1995-08-29,17.28125,17.34375,5.632813,16.1875,17.1875,2.953125,25.53125,12.3125,1.535714,20.0
1995-08-30,17.3125,17.46875,5.804688,16.15625,17.21875,2.921875,25.78125,12.625,1.544643,19.875
1995-08-31,17.34375,17.21875,5.835938,16.0625,17.15625,2.960938,25.625,12.4375,1.549107,19.666666
1995-09-01,17.25,17.34375,5.734375,16.0625,17.15625,2.894531,25.6875,12.3125,1.535714,19.208334
1995-09-05,17.3125,17.4375,5.679688,16.0,17.5,2.882813,25.75,12.375,1.5535709999999998,19.333334
1995-09-06,17.28125,17.40625,5.953125,15.9375,17.46875,2.894531,25.5,12.5,1.566964,19.333334
1995-09-07,17.375,17.34375,5.890625,16.125,17.59375,2.875,25.125,12.4375,1.5714290000000002,19.541666
1995-09-08,17.40625,17.4375,5.859375,15.96875,17.875,2.851563,25.0,12.5,1.598214,19.5
1995-09-11,17.5,17.46875,5.960938,15.9375,17.84375,2.875,24.5625,12.4375,1.6026790000000002,19.666666
1995-09-12,17.5625,17.8125,6.109375,15.96875,17.9375,2.863281,24.03125,12.625,1.589286,19.875
1995-09-13,17.4375,17.875,6.007813,16.15625,18.21875,2.871094,24.375,12.6875,1.53125,20.083334
1995-09-14,17.625,18.375,6.007813,16.46875,18.375,2.9375,23.8125,12.75,1.4776790000000002,20.166666
1995-09-15,18.0,18.71875,5.921875,16.59375,18.5,2.90625,23.1875,12.875,1.3348209999999998,20.166666
1995-09-18,17.84375,18.75,5.828125,16.65625,18.25,3.015625,23.125,12.875,1.299107,20.291666
1995-09-19,17.90625,18.71875,5.75,16.71875,18.15625,3.113281,23.65625,12.8125,1.3125,19.833334
1995-09-20,18.03125,18.75,5.84375,16.875,18.25,3.234375,24.40625,12.5,1.330357,20.083334
1995-09-21,17.9375,18.875,5.703125,17.28125,18.28125,3.261719,23.9375,12.5,1.3035709999999998,20.125
1995-09-22,18.21875,18.75,5.617188,17.375,18.09375,3.207031,23.46875,12.375,1.316964,19.083334
1995-09-25,18.21875,19.125,5.65625,17.625,18.125,3.2890629999999996,23.5,12.5625,1.3660709999999998,19.583334
1995-09-26,18.46875,19.5,5.648438,17.46875,18.21875,3.3828129999999996,23.3125,12.5,1.348214,19.583334
1995-09-27,18.5,19.375,5.5,17.4375,17.84375,3.3476559999999997,23.15625,12.375,1.339286,19.541666
1995-09-28,18.59375,19.34375,5.5625,17.53125,18.0,3.3554690000000003,23.71875,12.375,1.3035709999999998,20.0
1995-09-29,18.375,19.1875,5.726563,17.1875,18.15625,3.4921879999999996,23.5625,12.5625,1.357143,20.291666
1995-10-02,18.40625,19.1875,5.65625,17.25,18.03125,3.4765629999999996,23.75,12.3125,1.348214,20.291666
1995-10-03,18.40625,19.375,5.507813,17.3125,17.9375,3.5859379999999996,23.375,12.3125,1.361607,20.166666
1995-10-04,18.6875,19.5,5.507813,17.71875,18.0625,3.5859379999999996,23.5625,12.0,1.308036,20.25
1995-10-05,18.875,19.65625,5.375,17.90625,18.375,3.4882809999999997,23.46875,11.875,1.294643,20.875
1995-10-06,18.9375,19.65625,5.46875,17.65625,18.3125,3.484375,23.8125,11.875,1.3125,20.75
1995-10-09,19.28125,20.0,5.304688,17.6875,18.34375,3.46875,23.46875,11.875,1.263393,20.916666
1995-10-10,18.9375,20.0625,5.078125,17.90625,18.25,3.4375,22.5,11.875,1.2276790000000002,20.791666
1995-10-11,19.03125,20.125,5.367188,17.84375,18.375,3.4257809999999997,22.875,11.875,1.2589290000000002,21.083334
1995-10-12,19.0625,20.03125,5.4375,17.78125,18.375,3.390625,23.3125,11.5625,1.25,21.25
1995-10-13,19.25,20.25,5.53125,17.71875,18.34375,3.4375,23.5,11.5,1.276786,21.458334
1995-10-16,19.40625,19.96875,5.359375,17.71875,18.6875,3.4296879999999996,23.125,11.5,1.294643,21.416666
1995-10-17,19.375,19.96875,5.453125,17.90625,18.625,3.4453129999999996,23.125,11.1875,1.3035709999999998,21.208334
1995-10-18,19.375,20.0,6.140625,17.71875,18.625,3.4296879999999996,24.46875,11.375,1.3214290000000002,21.0
1995-10-19,19.5625,20.09375,5.953125,17.9375,18.6875,3.5234379999999996,24.21875,11.4375,1.28125,20.375
1995-10-20,19.71875,20.375,6.03125,18.375,18.75,3.5,24.5625,11.375,1.2589290000000002,20.125
1995-10-23,19.875,20.21875,5.9375,18.09375,18.875,3.4726559999999997,23.90625,11.375,1.254464,19.458334
1995-10-24,20.25,20.625,6.023438,18.0,18.78125,3.484375,24.71875,11.3125,1.267857,19.875
1995-10-25,20.71875,20.9375,6.101563,17.9375,18.9375,3.5625,24.625,11.25,1.2589290000000002,19.0
1995-10-26,20.375,20.625,5.984375,17.9375,19.0625,3.53125,24.0625,11.25,1.245536,19.041666
1995-10-27,20.03125,20.375,6.09375,17.75,18.6875,3.453125,23.96875,10.9375,1.245536,18.666666
1995-10-30,20.1875,20.375,6.203125,17.90625,18.6875,3.4882809999999997,24.375,11.0625,1.245536,19.5
1995-10-31,20.34375,20.1875,6.4375,18.0,19.0,3.59375,24.59375,11.0625,1.2589290000000002,19.375
1995-11-01,20.3125,20.25,6.257813,17.96875,19.09375,3.53125,24.3125,10.8125,1.308036,18.916666
1995-11-02,20.4375,20.6875,6.164063,17.9375,19.1875,3.59375,24.25,11.125,1.316964,19.375
1995-11-03,20.3125,20.90625,6.25,17.90625,18.9375,3.71875,25.0,11.625,1.3125,19.75
1995-11-06,20.0,20.78125,6.0625,17.78125,18.96875,3.703125,25.3125,11.6875,1.3035709999999998,19.791666
1995-11-07,20.0625,20.5,6.03125,17.59375,18.78125,3.75,24.875,11.625,1.348214,19.458334
1995-11-08,20.5,20.3125,5.867188,17.84375,18.6875,3.765625,24.78125,11.875,1.419643,19.208334
1995-11-09,20.5,20.71875,6.03125,18.1875,19.03125,3.765625,24.75,11.9375,1.419643,19.833334
1995-11-10,20.09375,20.71875,6.15625,17.9375,18.875,3.7890629999999996,24.375,11.875,1.40625,19.666666
1995-11-13,20.125,20.6875,6.039063,18.1875,18.875,3.734375,24.375,11.8125,1.4375,19.708334
1995-11-14,20.875,21.03125,5.992188,18.46875,19.0625,3.7734379999999996,24.21875,11.875,1.464286,19.333334
1995-11-15,20.8125,20.84375,5.898438,18.5,19.1875,3.84375,23.90625,11.5625,1.5,18.875
1995-11-16,21.40625,21.75,5.65625,18.5625,19.40625,3.875,23.90625,11.8125,1.4598209999999998,18.958334
